name,cum_return,ann_return,ann_vol,sharpe,max_dd,hit_rate,n_days
uWN (L/S),10.470000267028809,1.1699999570846558,10.4,0.113,-21.35,51.3,2156
cWN (L/S),5.900000095367432,0.6700000166893005,9.96,0.068,-30.26,50.42,2156
uWN (Long leg),130.97000122070312,10.279999732971191,27.15,0.379,-52.28,55.66,2156
cWN (Long leg),147.94000244140625,11.199999809265137,25.79,0.434,-55.7,55.15,2156
SPY buy-hold,121.8,9.76,18.18,0.537,-35.75,55.01,2156
