date,uWN_ls,cWN_ls,uWN_long,cWN_long,spy
2013-08-02,0.00021828938,1.8769642e-06,0.001587831,0.002478606,0.0016980990864457286
2013-08-05,0.0031972108,0.002055276,-0.0018467996,-0.0034408998,-0.0014634693094718644
2013-08-06,0.0026623649,0.00509202,0.0016436828,0.0055631683,-0.0056988076757863845
2013-08-07,-0.0009784391,-0.0020854801,0.0017450858,0.002206035,-0.0032455078825981963
2013-08-08,0.0013868224,0.002374478,0.002358397,0.0049531944,0.0036575964147939695
2013-08-09,-0.0008148297,-0.001576598,-0.005717606,-0.0022794367,-0.0028898737422881314
2013-08-12,-0.007103781,0.003003044,-0.0038055093,0.008491442,-0.001181994918128731
2013-08-13,-0.0011490692,-0.011046963,-0.0037235494,-0.011213446,0.002952259931165749
2013-08-14,0.004993067,0.0018372573,-0.013319487,-0.015452668,-0.005141931893059686
2013-08-15,-0.0044442574,-0.0010748273,-0.0038603577,0.002102911,-0.014085063752738092
2013-08-16,-0.0032381616,0.004769871,-0.010988319,-0.005487768,-0.003311649680972642
2013-08-19,0.0013910541,0.002687918,0.010579252,0.012710444,-0.006412271138694639
2013-08-20,-0.005663536,0.0012238498,-0.0060946494,0.00089358876,0.004904270122170881
2013-08-21,-0.0021009417,0.0027028613,0.00850218,0.010774758,-0.006179632233019118
2013-08-22,0.004780918,-0.0013013028,0.010403198,9.417569e-05,0.009073706349790106
2013-08-23,-0.0037380718,0.006535829,-0.010451949,0.0048320387,0.0033663044640745814
2013-08-26,0.0015610666,-0.006729196,-0.01076061,-0.022849547,-0.003727420223088321
2013-08-27,-0.00064963894,-0.0006181407,-0.0054178583,-0.008321723,-0.01621479583182171
2013-08-28,-0.0018455784,0.00065246364,0.0059529045,0.005254279,0.0035444091156456694
2013-08-29,0.0019006007,-0.0015137005,-0.0058876937,-0.009803429,0.0015852067382414645
2013-08-30,0.0029160867,0.0032983306,0.00675291,0.0073876437,-0.00317281437136104
2013-09-03,-0.0015767482,-0.0023511006,0.009269566,0.0091912495,0.004512165452568803
2013-09-04,-0.00088949193,0.0017897675,0.0006503115,0.0021977844,0.00823868685109582
2013-09-05,0.0037206481,-2.594944e-05,0.009474147,0.0034027658,0.0012660970159259829
2013-09-06,-0.00018939236,0.004836734,0.013198801,0.018184002,0.000481689051425311
2013-09-09,0.0014038975,-0.0023602801,0.011907415,0.007580016,0.009530915937717788
2013-09-10,-0.0066452846,-0.0036086019,-0.0059946897,0.0012257841,0.0073702569197671396
