feature,sample_idx,ticker,prediction_date,window_position,source_date,raw_value,z_value
ret_1d,16484,EXPE,2013-08-12,8,2013-07-26,-0.31999352579057927,-16.05847224766703
ret_1d,16483,EXPE,2013-08-09,9,2013-07-26,-0.31999352579057927,-16.05847224766703
ret_1d,16492,EXPE,2013-08-22,0,2013-07-26,-0.31999352579057927,-16.05847224766703
ret_1d,16491,EXPE,2013-08-21,1,2013-07-26,-0.31999352579057927,-16.05847224766703
ret_1d,16487,EXPE,2013-08-15,5,2013-07-26,-0.31999352579057927,-16.05847224766703
ret_1d,16488,EXPE,2013-08-16,4,2013-07-26,-0.31999352579057927,-16.05847224766703
ret_1d,16485,EXPE,2013-08-13,7,2013-07-26,-0.31999352579057927,-16.05847224766703
ret_1d,16486,EXPE,2013-08-14,6,2013-07-26,-0.31999352579057927,-16.05847224766703
ret_1d,16478,EXPE,2013-08-02,14,2013-07-26,-0.31999352579057927,-16.05847224766703
ret_1d,16479,EXPE,2013-08-05,13,2013-07-26,-0.31999352579057927,-16.05847224766703
