feature,train_max_abs_z,val_max_abs_z,train_mean_abs_z,val_mean_abs_z,val_to_train_max_ratio
amihud,163.88680810370406,1059748172524.482,0.025628348994198316,15525171.049840765,6466342134.468137
vol_norm,36.28007318001403,34.21481823619303,0.6192746430170225,0.6347762063153598,0.9430746753576107
gap,48.862333432243105,23.87413481879512,0.5793976278854139,0.39170333881707814,0.48859997347242223
dist_52w_low,13.700996402686469,20.214126526585233,0.6620094359756272,0.8351050478508286,1.4753763837657972
ret_1d,24.109196703634655,16.05847224766703,0.665820557183695,0.48549178099868584,0.6660724720556708
hl_spread,31.491491048907225,12.582569023716102,0.6881122540336353,0.6080755685449958,0.3995545655229407
ret_2d,19.470750110118516,12.5234591181485,0.6802805331810243,0.5127808142484735,0.6431934592822747
hl_range,12.370425335422443,11.135729715314529,0.7486629202204911,0.7610801037214928,0.9001897197040355
vol_momentum,10.923065045179221,10.923065044862017,0.7306195547873223,0.7385187497641267,0.9999999999708686
realized_vol_5d,17.372904696611048,10.92300782867545,0.6863127990101229,0.5996077526867708,0.6287381424941326
price_to_sma200,13.1327932097753,10.890916989674233,0.7258148519789551,0.7146649903210449,0.8292917443919567
intraday_ret,27.76359937090838,10.43595471748007,0.6926684425276759,0.537124744628663,0.37588623067421273
ret_3d,16.256148468155647,9.613381704208116,0.6835189592975535,0.513245785602306,0.5913689655971885
sma50_to_sma200,7.940988952987461,8.895863416033565,0.7319662637335929,0.7076253624569978,1.1202462903169954
price_to_ema20,14.52815809553554,8.726808271701906,0.7036012192597265,0.5587442507415926,0.6006823586524039
ret_5d,13.929041078456281,8.425028597402996,0.6934473834497462,0.5294322532386362,0.6048534532957321
price_to_sma20,14.044588509393797,7.995911254184078,0.7044381571089889,0.569028892496139,0.5693232841129806
mom_126d,7.768128669516157,7.863223055329188,0.725032030400512,0.6357454341583936,1.0122416079673333
bb_width,12.34536229512265,7.83332853318202,0.6966669108674708,0.6043401032616299,0.6345158891186322
macd_hist,15.85431259946774,7.723728399275925,0.7028884945695588,0.5665507379862095,0.4871689233334997
mom_252d,10.176808258168338,7.573520650148723,0.7159624495502749,0.8761612528973821,0.7441940987803469
mom_60d,9.598009998385688,7.3339406375658,0.7249176800054669,0.5554536026615399,0.764110543622954
ret_10d,11.272119606794275,7.014160598010108,0.7002838538446831,0.5716240759638852,0.6222574673339784
price_to_sma50,12.959583677108537,6.9514325741036105,0.7189097890959874,0.5599608590479941,0.5363932011474951
slope_20d,13.25603977760819,6.349756165457513,0.6938975722225559,0.5619937751819964,0.47900853286385736
realized_vol_20d,9.472864111848706,5.69013658451779,0.7349133042657396,0.6429198478458301,0.6006775265993669
sma20_to_sma50,9.211622994948224,5.518713006705517,0.714491024874381,0.5598669021069409,0.599103220977612
ret_20d,9.089085659501617,5.516476504614395,0.70842961190995,0.5626591581134066,0.606934152815133
atr_pct,12.421810149057837,5.485379831427405,0.746298374195194,0.6399297571146519,0.441592631476743
ema12_to_ema26,8.910626314305016,5.469817392326003,0.7118738236938261,0.5587316919801522,0.6138533027183742
realized_vol_60d,6.299694124672744,5.390822202642134,0.76735982811948,0.6534417871869026,0.8557276108895716
macd_line,12.420681323891708,5.208526232312619,0.6962800745906789,0.5388972892358072,0.4193430373496
macd_signal,12.055123445026766,4.926461403493875,0.6948820173071749,0.5342404549138005,0.4086612157858769
dist_52w_high,6.790041569840009,3.5290610321105484,0.7604332914421517,0.6257476127925649,0.5197407108353215
bb_pct,3.536338464806486,3.472553711485863,0.8436570296801889,0.8455759147114716,0.9819630519090895
obv_norm,3.4411397946333295,3.4159693747119255,0.846927767037125,0.8496274322582836,0.9926854410385618
vpt,3.370300131032506,3.3696941649974383,0.8261213366648991,0.8298108477774774,0.9998202041324189
rsi_14,3.289189588863145,3.289189588863145,0.8102143344066219,0.8677327479078926,0.9999999999996959
vol_regime,3.3949063864374307,3.1988392527476703,0.8106268301662045,0.8288828841114608,0.9422466744667876
vix_change_1d,6.26072543126959,2.699695194649566,0.69056540002771,0.5299668628325677,0.4312112428961245
vix_close_norm,7.683967816462164,2.4216545763454973,0.7422588876627192,0.709515477779174,0.31515678282215337
vix_mom_5d,7.037470703042933,2.069891971645452,0.7399313862382473,0.5966668909541125,0.29412441756242863
stoch_k,1.8998825249567548,1.899882524956752,0.871462806687918,0.8933833581955899,0.9999999999994721
spy_ret_1d,5.624708819919434,1.7972340511827973,0.6841776453089622,0.4184649687906625,0.31952481607896294
spy_ret_20d,4.190604340441432,1.561358032514137,0.7414289874376284,0.5405455168280213,0.3725854090890607
spy_ret_5d,5.402232310178112,1.4952595898822068,0.7162229676971407,0.45438446671693017,0.27678550347877046
vix_regime,1.4536382996394484,1.4536382996394484,0.933895452570495,0.6950762152391513,0.999999999999312
spy_vol_20d,3.7078796868979755,1.1489111168495267,0.7471680743242775,0.741857513162155,0.3098566334039818
