feature,train_mean,train_std,train_min,train_p01,train_p50,train_p99,train_max,val_mean,val_std,val_min,val_p01,val_p50,val_p99,val_max
ret_1d,0.000571987235410542,0.019962391694679036,-0.45552298189031903,-0.05661872062750417,0.0006198699674779817,0.055375645831645226,0.4818492152773213,0.0009207030749963332,0.014467444105119786,-0.31999352579057927,-0.034623931583441125,0.0004627909964982635,0.04005443435826539,0.28879259213889696
ret_2d,0.0011389489724233273,0.027646753429531937,-0.46168449546046864,-0.07876663580352838,0.0014141268689602526,0.07470445031351236,0.5394419763547669,0.0018571268760375031,0.02059473637649725,-0.34509403735176525,-0.05047720266229483,0.0013456492538850284,0.0567067395577574,0.30673027556449073
ret_3d,0.0017020514281404775,0.03410332738309411,-0.5526867017694395,-0.09846400719283688,0.002458304633880193,0.09180673821838337,0.5501799114087316,0.002803401865233993,0.02491939711996821,-0.32614625208904746,-0.059645135706963615,0.0022628047623429737,0.06945835038505566,0.30109011708863775
ret_5d,0.002828513411417561,0.04295403606699632,-0.595480019451315,-0.12375798925103121,0.004167075807633314,0.11486103540436687,0.5513055920459466,0.00471833595189303,0.0315724339555579,-0.34149548028466814,-0.07484597478460087,0.003993485461855961,0.08926529284580065,0.3647174956497694
ret_10d,0.005732244782081707,0.057408361763771905,-0.6413816754490633,-0.17067400598536742,0.008513869807078578,0.1486282192267585,0.5799115475865688,0.009817076931825331,0.04434511535538932,-0.3653557229372981,-0.09870719211811974,0.00840961452507627,0.13044233360193536,0.4084037138617136
ret_20d,0.012011651642420752,0.08169930522710073,-0.7305603318884417,-0.23772997055699285,0.017375451982188928,0.21334703932470456,0.7069086880293729,0.021451606720517758,0.0606874369555044,-0.3641921718165131,-0.1336431277836141,0.022050081029953983,0.18223468423648548,0.4627039493710319
mom_60d,0.03275063784908322,0.1383884622788666,-1.2955032067645327,-0.3750792594167582,0.04546924854004297,0.35910160644798106,1.131692135859463,0.057022485006353714,0.10074983243871329,-0.43858621857794766,-0.1857053478476991,0.053622165442477776,0.3287347400118876,1.047683405126185
mom_126d,0.06180893597679829,0.19396067724269977,-1.4449025616709747,-0.5091414995979258,0.07665479568280853,0.5098036538998538,1.4173602084717032,0.12196547265196225,0.15646298758994595,-0.5146117182846193,-0.24821234507546386,0.11632373589836709,0.5498990112851616,1.5869650050988668
mom_252d,0.12412311789496583,0.23925295511670658,-2.3107083315281076,-0.5306282227296,0.13491806381565663,0.7232544067305353,1.615246248667507,0.2801954259412867,0.23237634208441177,-0.7288374992450888,-0.2574417212488438,0.2671181402152323,0.949121460337103,1.9361103140805156
price_to_sma20,0.006001603757398543,0.04526988426016652,-0.41235868493871963,-0.13001830296890782,0.00853994197136787,0.12060258258363699,0.6417985000594715,0.00990041383052804,0.03451390042856863,-0.27223883969410245,-0.0729589836366723,0.009591601928406357,0.10513443508695985,0.3679755807889604
price_to_sma50,0.01593518191754144,0.07197444893061426,-0.5229420562656187,-0.19132684847823345,0.020635086289977345,0.19592436825449622,0.9486940754477968,0.026521570660677483,0.053250728504539976,-0.2779418923712077,-0.09906573013109032,0.025880405601312884,0.17560322548605986,0.5162607107170696
price_to_sma200,0.05476093943816109,0.13726875275333456,-0.7277306347676147,-0.32271508739470145,0.06188754417163289,0.3958420682717001,1.857483083511343,0.10998241923074413,0.1258313196387752,-0.3502943230874057,-0.1585537238161291,0.09981623662726191,0.49876666096266953,1.549743530950734
sma20_to_sma50,0.009264022941190626,0.043270804158866374,-0.32662601474688535,-0.12215588518458109,0.01270171225790584,0.1144670064196085,0.4078583575409189,0.016184965591381495,0.03154660588168313,-0.1749777196266905,-0.0625490611862547,0.01685538355445515,0.10053992981989901,0.24806317266334132
sma50_to_sma200,0.036884175351136333,0.10168498427324048,-0.5948811289676781,-0.25123663282892805,0.04437114451569202,0.2775300544731747,0.844363512149712,0.0798177227647532,0.08997115857691543,-0.22988177073427785,-0.1236641591758495,0.07429518083446429,0.3511324502566562,0.9414599069074827
