feature,sample_idx,ticker,prediction_date,window_position,source_date,raw_value,z_value
ret_2d,16484,EXPE,2013-08-12,9,2013-07-29,-0.34509403735176525,-12.5234591181485
ret_2d,16489,EXPE,2013-08-19,4,2013-07-29,-0.34509403735176525,-12.5234591181485
ret_2d,16487,EXPE,2013-08-15,6,2013-07-29,-0.34509403735176525,-12.5234591181485
ret_2d,16488,EXPE,2013-08-16,5,2013-07-29,-0.34509403735176525,-12.5234591181485
ret_2d,16485,EXPE,2013-08-13,8,2013-07-29,-0.34509403735176525,-12.5234591181485
ret_2d,16486,EXPE,2013-08-14,7,2013-07-29,-0.34509403735176525,-12.5234591181485
ret_2d,16490,EXPE,2013-08-20,3,2013-07-29,-0.34509403735176525,-12.5234591181485
ret_2d,16491,EXPE,2013-08-21,2,2013-07-29,-0.34509403735176525,-12.5234591181485
ret_2d,16493,EXPE,2013-08-23,0,2013-07-29,-0.34509403735176525,-12.5234591181485
ret_2d,16492,EXPE,2013-08-22,1,2013-07-29,-0.34509403735176525,-12.5234591181485
