feature,sample_idx,ticker,prediction_date,window_position,source_date,raw_value,z_value
gap,47403,META,2013-08-06,11,2013-07-25,0.2651827986514179,23.87413481879512
gap,47402,META,2013-08-05,12,2013-07-25,0.2651827986514179,23.87413481879512
gap,47407,META,2013-08-12,7,2013-07-25,0.2651827986514179,23.87413481879512
gap,47408,META,2013-08-13,6,2013-07-25,0.2651827986514179,23.87413481879512
gap,47409,META,2013-08-14,5,2013-07-25,0.2651827986514179,23.87413481879512
gap,47410,META,2013-08-15,4,2013-07-25,0.2651827986514179,23.87413481879512
gap,47412,META,2013-08-19,2,2013-07-25,0.2651827986514179,23.87413481879512
gap,47411,META,2013-08-16,3,2013-07-25,0.2651827986514179,23.87413481879512
gap,47413,META,2013-08-20,1,2013-07-25,0.2651827986514179,23.87413481879512
gap,47414,META,2013-08-21,0,2013-07-25,0.2651827986514179,23.87413481879512
