feature,sample_idx,ticker,prediction_date,window_position,source_date,raw_value,z_value
realized_vol_5d,16487,EXPE,2013-08-15,7,2013-07-30,2.340673858404725,10.92300782867545
realized_vol_5d,16483,EXPE,2013-08-09,11,2013-07-30,2.340673858404725,10.92300782867545
realized_vol_5d,16485,EXPE,2013-08-13,9,2013-07-30,2.340673858404725,10.92300782867545
realized_vol_5d,16482,EXPE,2013-08-08,12,2013-07-30,2.340673858404725,10.92300782867545
realized_vol_5d,16486,EXPE,2013-08-14,8,2013-07-30,2.340673858404725,10.92300782867545
realized_vol_5d,16489,EXPE,2013-08-19,5,2013-07-30,2.340673858404725,10.92300782867545
realized_vol_5d,16481,EXPE,2013-08-07,13,2013-07-30,2.340673858404725,10.92300782867545
realized_vol_5d,16479,EXPE,2013-08-05,15,2013-07-30,2.340673858404725,10.92300782867545
realized_vol_5d,16480,EXPE,2013-08-06,14,2013-07-30,2.340673858404725,10.92300782867545
realized_vol_5d,16478,EXPE,2013-08-02,16,2013-07-30,2.340673858404725,10.92300782867545
