feature,sample_idx,ticker,prediction_date,window_position,source_date,raw_value,z_value
hl_spread,29486,NFLX,2013-10-29,14,2013-10-22,0.20978560466315607,12.582569023716102
hl_spread,29491,NFLX,2013-11-05,9,2013-10-22,0.20978560466315607,12.582569023716102
hl_spread,29490,NFLX,2013-11-04,10,2013-10-22,0.20978560466315607,12.582569023716102
hl_spread,29493,NFLX,2013-11-07,7,2013-10-22,0.20978560466315607,12.582569023716102
hl_spread,29494,NFLX,2013-11-08,6,2013-10-22,0.20978560466315607,12.582569023716102
hl_spread,29492,NFLX,2013-11-06,8,2013-10-22,0.20978560466315607,12.582569023716102
hl_spread,29498,NFLX,2013-11-14,2,2013-10-22,0.20978560466315607,12.582569023716102
hl_spread,29497,NFLX,2013-11-13,3,2013-10-22,0.20978560466315607,12.582569023716102
hl_spread,29496,NFLX,2013-11-12,4,2013-10-22,0.20978560466315607,12.582569023716102
hl_spread,29495,NFLX,2013-11-11,5,2013-10-22,0.20978560466315607,12.582569023716102
