feature,train_mean,train_std,train_min,train_p01,train_p50,train_p99,train_max,val_mean,val_std,val_min,val_p01,val_p50,val_p99,val_max
ret_1d,0.000963646548681754,0.01737159183548893,-0.42917849628747773,-0.04391099300402024,0.0007355666178563425,0.04853864227622129,0.4818492152773213,0.0009853914839056687,0.014941816131492355,-0.3366858162817956,-0.03783843921323138,0.0008578007048098968,0.04051160400653796,0.2329796106162405
ret_2d,0.0019356319141012334,0.024394604877370215,-0.41391641792907186,-0.06243275953413896,0.0017460292121058707,0.068912020364984,0.5394419763547669,0.0019928743271315245,0.020897405456477232,-0.43039458057806623,-0.05444950918088498,0.0020696944634579495,0.05669163244649944,0.2822924243690408
ret_3d,0.002911591132392916,0.029671311561696723,-0.38863916162598233,-0.07624683719317638,0.002897780217624657,0.08409721547030324,0.5501799114087316,0.003018745149966889,0.02548092493995263,-0.42875830009098737,-0.06305110328904107,0.00318673140654413,0.07049538652135245,0.2986655078277014
ret_5d,0.004865756894720519,0.03763500387392765,-0.41846734300734423,-0.09595731930744389,0.005096768139955632,0.106664471681853,0.5513055920459466,0.005126680356839797,0.032440949945990394,-0.4367617306124232,-0.07786060420329743,0.004904530157858744,0.0922804222753335,0.30597574489766366
ret_10d,0.009774270937581072,0.05114623005363464,-0.46513745864885386,-0.1273324644232905,0.010066948023150779,0.14643708219164076,0.5799115475865688,0.010690741979503924,0.04611801842245177,-0.5099249457287107,-0.10953449060604026,0.01092705668584193,0.13839898039635967,0.3145973836761642
ret_20d,0.019281986379654305,0.07241848483378009,-0.6529134427965086,-0.17590772195766458,0.020666551755658347,0.213991144378183,0.7069086880293729,0.021964628093309343,0.06256655895606043,-0.5672036890790326,-0.1389155440008174,0.022679964116649742,0.19413447141646722,0.41464738597969575
mom_60d,0.05325525993554209,0.12189116710156352,-1.2955032067645327,-0.2864713426821526,0.057458444143460685,0.3682544593866961,1.131692135859463,0.06236147503515019,0.10073779609969892,-0.640349952613144,-0.16464854209237823,0.059386006822264026,0.33333331935067445,0.7530656672606226
mom_126d,0.08985378465929389,0.17998460387367088,-1.4449025616709747,-0.41256483758761053,0.09629686701859042,0.5269485577539044,1.5869650050988668,0.12632285755170009,0.14988105048711342,-0.49606790441190407,-0.22351430888101786,0.11843939110516599,0.5397743305593588,1.497084538889999
mom_252d,0.1439226274073221,0.24267636837551476,-2.3107083315281076,-0.5078135462288058,0.15218381330623743,0.7503490919414855,1.9361103140805156,0.2823834706709321,0.23485005455339214,-0.7317082389273408,-0.22113749758758638,0.26911136801698765,1.0300418326290737,1.9810905824159304
price_to_sma20,0.009612569106936173,0.04040303928816638,-0.33762060064972066,-0.09540198864311611,0.01010792720401299,0.12024716291508009,0.6417985000594715,0.010545868350566588,0.03561720568591688,-0.35526451008344684,-0.08168074066604925,0.011070953868899114,0.1096785190053382,0.3202287041643459
