feature,sample_idx,ticker,prediction_date,window_position,source_date,raw_value,z_value
amihud,47379,AMCR,2014-03-06,12,2014-02-25,18695650083820.016,43994708989721.266
amihud,47378,AMCR,2014-03-05,13,2014-02-25,18695650083820.016,43994708989721.266
amihud,47381,AMCR,2014-03-10,10,2014-02-25,18695650083820.016,43994708989721.266
amihud,47391,AMCR,2014-03-24,0,2014-02-25,18695650083820.016,43994708989721.266
amihud,47376,AMCR,2014-03-03,15,2014-02-25,18695650083820.016,43994708989721.266
amihud,47380,AMCR,2014-03-07,11,2014-02-25,18695650083820.016,43994708989721.266
amihud,47390,AMCR,2014-03-21,1,2014-02-25,18695650083820.016,43994708989721.266
amihud,47383,AMCR,2014-03-12,8,2014-02-25,18695650083820.016,43994708989721.266
amihud,47389,AMCR,2014-03-20,2,2014-02-25,18695650083820.016,43994708989721.266
amihud,47386,AMCR,2014-03-17,5,2014-02-25,18695650083820.016,43994708989721.266
