feature,sample_idx,ticker,prediction_date,window_position,source_date,raw_value,z_value
dist_52w_low,45773,TSLA,2014-03-05,14,2014-02-26,6.301587534338461,19.75092278431798
dist_52w_low,45776,TSLA,2014-03-10,11,2014-02-26,6.301587534338461,19.75092278431798
dist_52w_low,45786,TSLA,2014-03-24,1,2014-02-26,6.301587534338461,19.75092278431798
dist_52w_low,45774,TSLA,2014-03-06,13,2014-02-26,6.301587534338461,19.75092278431798
dist_52w_low,45787,TSLA,2014-03-25,0,2014-02-26,6.301587534338461,19.75092278431798
dist_52w_low,45775,TSLA,2014-03-07,12,2014-02-26,6.301587534338461,19.75092278431798
dist_52w_low,45782,TSLA,2014-03-18,5,2014-02-26,6.301587534338461,19.75092278431798
dist_52w_low,45768,TSLA,2014-02-26,19,2014-02-26,6.301587534338461,19.75092278431798
dist_52w_low,45769,TSLA,2014-02-27,18,2014-02-26,6.301587534338461,19.75092278431798
dist_52w_low,45770,TSLA,2014-02-28,17,2014-02-26,6.301587534338461,19.75092278431798
