feature,sample_idx,ticker,prediction_date,window_position,source_date,raw_value,z_value
ret_2d,4988,BBY,2014-02-06,6,2014-01-17,-0.43039458057806623,-17.7223699529293
ret_2d,4979,BBY,2014-01-24,15,2014-01-17,-0.43039458057806623,-17.7223699529293
ret_2d,4987,BBY,2014-02-05,7,2014-01-17,-0.43039458057806623,-17.7223699529293
ret_2d,4983,BBY,2014-01-30,11,2014-01-17,-0.43039458057806623,-17.7223699529293
ret_2d,4985,BBY,2014-02-03,9,2014-01-17,-0.43039458057806623,-17.7223699529293
ret_2d,4978,BBY,2014-01-23,16,2014-01-17,-0.43039458057806623,-17.7223699529293
ret_2d,4977,BBY,2014-01-22,17,2014-01-17,-0.43039458057806623,-17.7223699529293
ret_2d,4975,BBY,2014-01-17,19,2014-01-17,-0.43039458057806623,-17.7223699529293
ret_2d,4993,BBY,2014-02-13,1,2014-01-17,-0.43039458057806623,-17.7223699529293
ret_2d,4994,BBY,2014-02-14,0,2014-01-17,-0.43039458057806623,-17.7223699529293
