feature,sample_idx,ticker,prediction_date,window_position,source_date,raw_value,z_value
gap,4979,BBY,2014-01-24,14,2014-01-16,-0.31035443634665993,-30.872994006552968
gap,4980,BBY,2014-01-27,13,2014-01-16,-0.31035443634665993,-30.872994006552968
gap,4987,BBY,2014-02-05,6,2014-01-16,-0.31035443634665993,-30.872994006552968
gap,4988,BBY,2014-02-06,5,2014-01-16,-0.31035443634665993,-30.872994006552968
gap,4983,BBY,2014-01-30,10,2014-01-16,-0.31035443634665993,-30.872994006552968
gap,4990,BBY,2014-02-10,3,2014-01-16,-0.31035443634665993,-30.872994006552968
gap,4978,BBY,2014-01-23,15,2014-01-16,-0.31035443634665993,-30.872994006552968
gap,4985,BBY,2014-02-03,8,2014-01-16,-0.31035443634665993,-30.872994006552968
gap,4984,BBY,2014-01-31,9,2014-01-16,-0.31035443634665993,-30.872994006552968
gap,4986,BBY,2014-02-04,7,2014-01-16,-0.31035443634665993,-30.872994006552968
