feature,sample_idx,ticker,prediction_date,window_position,source_date,raw_value,z_value
realized_vol_5d,4980,BBY,2014-01-27,16,2014-01-22,2.5228432610666056,14.122647058462798
realized_vol_5d,4987,BBY,2014-02-05,9,2014-01-22,2.5228432610666056,14.122647058462798
realized_vol_5d,4977,BBY,2014-01-22,19,2014-01-22,2.5228432610666056,14.122647058462798
realized_vol_5d,4982,BBY,2014-01-29,14,2014-01-22,2.5228432610666056,14.122647058462798
realized_vol_5d,4983,BBY,2014-01-30,13,2014-01-22,2.5228432610666056,14.122647058462798
realized_vol_5d,4988,BBY,2014-02-06,8,2014-01-22,2.5228432610666056,14.122647058462798
realized_vol_5d,4985,BBY,2014-02-03,11,2014-01-22,2.5228432610666056,14.122647058462798
realized_vol_5d,4984,BBY,2014-01-31,12,2014-01-22,2.5228432610666056,14.122647058462798
realized_vol_5d,4986,BBY,2014-02-04,10,2014-01-22,2.5228432610666056,14.122647058462798
realized_vol_5d,4981,BBY,2014-01-28,15,2014-01-22,2.5228432610666056,14.122647058462798
