Coordinate,RMSE_uWN_std,RMSE_cWN_std,RMSE_uWN_orig,RMSE_cWN_orig
X,0.017895283177495003,0.014481383375823498,0.12343502789735794,0.09988721460103989
Y,0.02367512881755829,0.032814741134643555,0.19306516647338867,0.26759663224220276
Z,0.005512551870197058,0.031060675159096718,0.05122213810682297,0.2886129319667816
