name,n_days,ann_return,ann_vol,sharpe,max_dd,calmar,hit_rate
uWN L/S,34,8.817450078705882,24.37785806121257,0.3616991296116105,-7.521933217263699,1.1722318859792102,52.94117647058824
cWN L/S,34,-18.694397869411766,37.018940036995666,-0.5049954915032567,-19.291214676929414,-0.9690627617587159,52.94117647058824
LSTM L/S,34,-57.581613550588216,22.880178875123743,-2.5166592277618665,-14.689299008536283,-3.9199701173711032,44.11764705882353
uWN Long,34,-193.09279018235296,99.54717949429624,-1.9397113104489863,-42.58877147705707,-4.533889638797979,41.17647058823529
cWN Long,34,-217.63049578941173,118.81887433499205,-1.8316155309860411,-53.92020711111791,-4.036158372635818,44.11764705882353
LSTM Long,34,-291.60366605999997,106.0687848816799,-2.749193988696726,-52.44384771757107,-5.560302651215831,41.17647058823529
SPY B&H,34,-176.37620942604556,77.50111319349288,-2.2757893652200525,-35.48023817331229,-4.971111187793603,38.23529411764706
