name,cum_return,ann_return,ann_vol,sharpe,max_dd,hit_rate,n_days
uWN (L/S),25.3700008392334,3.4800000190734863,7.31,0.476,-10.779999732971191,51.38,1666
cWN (L/S),49.880001068115234,6.309999942779541,8.7,0.726,-21.0,51.26,1666
LSTM (L/S),-3.7100000381469727,-0.5699999928474426,6.67,-0.085,-15.4399995803833,50.6,1666
uWN (Long),54.369998931884766,6.789999961853027,24.21,0.28,-43.939998626708984,54.8,1666
cWN (Long),56.91999816894531,7.050000190734863,25.61,0.275,-56.06999969482422,54.5,1666
LSTM (Long),9.050000190734863,1.3200000524520874,24.06,0.055,-52.650001525878906,54.56,1666
SPY buy-hold,33.08,4.42,18.93,0.233,-36.17,53.66,1666
