date,uWN_ls,cWN_ls,LSTM_ls,uWN_long,cWN_long,LSTM_long,spy
2013-08-16,0.0005084246,-0.0012327528,-0.0021846895,-0.0057339747,-0.007335859,-0.007671824,-0.003311649680972642
2013-08-19,0.0014945543,0.00051554386,-0.0012633111,0.011522201,0.009376549,0.009750156,-0.006412271138694639
2013-08-20,-0.0013396991,-0.0014771802,-0.0023421906,-0.0065893964,-0.006101099,-0.0049567563,0.004904270122170881
2013-08-21,-0.0019397065,-0.0021010956,0.00036399625,0.007968376,0.007095627,0.010100824,-0.006179632233019118
2013-08-22,-0.0025663336,-0.0014094638,0.00081057637,0.00026535403,0.0012290295,0.005029701,0.009073706349790106
2013-08-23,0.0014052503,-0.00044023828,-0.0008032544,-0.001192499,-0.0034806225,-0.0039247456,0.0033663044640745814
2013-08-26,0.004167163,0.004395264,0.0070771966,-0.015442848,-0.01492268,-0.010102905,-0.003727420223088321
2013-08-27,-0.0024857116,-0.0004104739,-0.0013856463,-0.00204465,0.0016027344,-0.00048076277,-0.01621479583182171
2013-08-28,0.00045178924,2.800161e-05,-0.0006777913,0.005476325,0.0054283994,0.003658056,0.0035444091156456694
2013-08-29,-0.002049508,-0.0016870834,-0.0007370189,-0.008553979,-0.007422785,-0.008373902,0.0015852067382414645
2013-08-30,-0.0029655744,0.000759216,-0.0019285219,-0.0008007825,0.0037910505,0.0016706914,-0.00317281437136104
2013-09-03,-0.00034041656,0.0005691028,-0.0029413004,0.007950292,0.009471072,0.00464192,0.004512165452568803
2013-09-04,0.0018009227,-0.0011308983,-0.00052929175,0.002599388,-0.00013737379,0.0010013304,0.00823868685109582
2013-09-05,-0.002000832,0.0015203942,0.0031732142,-0.0015619707,0.0023211767,0.004394964,0.0012660970159259829
2013-09-06,0.00036687963,-0.00026333425,0.00088550383,0.014321614,0.013200749,0.015132633,0.000481689051425311
2013-09-09,-0.0020901244,-0.0020334227,-0.004480657,0.007836145,0.007087011,0.005109825,0.009530915937717788
2013-09-10,0.00040483006,0.0015845066,0.001847266,-0.00015921333,0.003283935,0.0026476048,0.0073702569197671396
2013-09-11,0.0009220684,0.0008126487,0.0013722767,-0.002936283,-0.0033063397,-0.003858487,0.0031332612140661216
2013-09-12,-0.000708111,-0.0004945928,0.0017656789,0.0019881001,0.0037117754,0.0036749772,-0.0026604326658298152
2013-09-13,0.0029696156,-0.00097244326,0.0004795876,0.008632737,0.004489155,0.0063216607,0.0022472589055961313
2013-09-16,-0.0012308464,-0.0021337676,-0.0013151767,0.0043552476,0.003624119,0.0046847444,0.005770738377347495
2013-09-17,0.0027282862,0.004065023,0.0045208917,0.01682347,0.019284045,0.018116795,0.0044524855763254795
2013-09-18,2.1214597e-05,-0.00079719804,-6.845349e-05,-0.0025807815,-0.0006469532,-0.0016598336,0.011507801831077023
2013-09-19,-0.0005549281,-0.0009189395,0.000915325,-0.008233202,-0.00768275,-0.0056041153,-0.0016772552801830978
2013-09-20,0.0013523641,0.0008736516,-0.0027319673,-0.002265529,-0.004264007,-0.006677693,-0.007015942552394769
2013-09-23,-0.0008501868,-0.0004351324,-0.0013219403,0.0008674753,0.0009175288,0.00013501679,-0.004638433950686003
2013-09-24,-0.0005374015,-0.0006149186,-0.00030661354,-0.0006922055,-0.0001863224,5.875644e-05,-0.0023571119557804225
2013-09-25,-0.00047084794,-0.0016276555,-0.0010457952,0.003264677,0.0028150664,0.0037006973,-0.0028945014065355577
2013-09-26,-0.00043440284,0.00019750255,-0.00018502958,-0.0054113567,-0.00466643,-0.0058792983,0.003838480492393152
2013-09-27,0.00028141838,-0.0016995927,-0.0024595086,-0.0017827734,-0.0034208656,-0.0042605954,-0.004607724196807841
2013-09-30,-0.00040864944,-0.0002580653,-0.003692304,0.009394168,0.010394548,0.0076249237,-0.005342429681202228
2013-10-01,-0.00056422316,0.0009883777,0.0010732865,-0.0017060759,0.0016059176,0.00057150767,0.007884870559744827
2013-10-02,-0.0003668191,-0.000116888434,-0.002070567,-0.010423475,-0.010119859,-0.012005369,-0.000944480278584557
2013-10-03,-0.0003705474,0.0013239293,-0.0018074792,0.0068236757,0.008556527,0.005214194,-0.009264524245672907
2013-11-14,8.7930704e-05,-0.00069686235,0.00087900436,0.004020773,0.004878153,0.004864447,0.004977319291428941
2013-11-15,0.0016672635,0.0009793793,0.0017351175,-0.003787702,-0.0051011895,-0.0051315096,0.004341074290089081
2013-11-18,-0.00074810814,0.0028035655,-0.00064088893,-0.00551982,-0.0019666848,-0.0061877645,-0.003504993948821484
2013-11-19,-0.001581339,0.0006414964,0.0005707169,-0.004168783,-0.0024750473,-0.0023478689,-0.002175855365041794
2013-11-20,0.00011565443,-0.000881515,-1.3267156e-05,0.010446943,0.0085434895,0.009017492,-0.0031332458113687055
2013-11-21,0.0001316847,0.0006751175,0.0010199298,0.004093866,0.004068649,0.0042406237,0.008036373539414103
2013-11-22,-0.0012241023,-0.00035348668,-0.0007268705,-0.0023808044,-0.0005329329,-0.001291816,0.004990251200688557
2013-11-25,-0.0010714644,-0.0011886512,0.0011933481,0.00085181725,0.0007353192,0.0021424207,-0.0009962064091347948
2013-11-26,0.0004994349,0.000544123,-0.0015317325,0.0023710642,0.0045575923,0.0018225606,0.00027642865645486627
2013-11-27,-0.000308697,0.00046634284,0.0009560936,-0.0033129232,-0.0017540966,-0.001453139,0.0024325990337570047
2013-11-29,-0.00051282725,-0.00093640026,-0.0005211666,-0.0022886374,-0.0040356927,-0.0032980833,-0.0006625079437367078
2013-12-02,-0.0030803394,0.0021794792,-0.0030932282,-0.006055253,-0.0020938206,-0.0046953037,-0.002600338755743599
2013-12-03,-0.0024887458,0.0017616515,-0.0009844853,-0.0019471871,0.003169623,0.00013746107,-0.00432961158708682
2013-12-04,-5.9860322e-05,0.001027291,-0.0009512978,-0.0009319152,-0.0012720212,-0.0027591058,-0.0001118068449651016
2013-12-05,0.0006913943,-0.0020923342,0.0011695425,0.008976177,0.006027222,0.009892383,-0.004404866622549778
2013-12-06,4.9660084e-05,0.00089578034,0.0006945039,0.0004563194,0.0026027155,0.0007959189,0.011115048594918521
