name,cum_return,ann_return,ann_vol,sharpe,max_dd,hit_rate,n_days
uWN (L/S),7.860000133514404,1.149999976158142,8.23,0.14,-22.770000457763672,51.26,1666
cWN (L/S),18.860000610351562,2.6500000953674316,7.83,0.338,-18.860000610351562,49.28,1666
uWN (Long leg),21.719999313354492,3.0199999809265137,25.24,0.12,-56.560001373291016,55.28,1666
cWN (Long leg),33.61000061035156,4.480000019073486,25.03,0.179,-48.61000061035156,54.32,1666
SPY buy-hold,33.08,4.42,18.93,0.233,-36.17,53.66,1666
